,publisherAgentID,publisherAgentName
0,30047,Figshare
1,30048,Zenodo
2,30049,figshare
3,30050,UK
4,30051,British
5,30052,Sennacieca Asocio Tutmonda
6,30053,French
7,30054,France
8,30055,John Mark
9,30056,Calvin Theological Seminary
10,30057,4TU.Centre
11,30058,San Francisco
12,30059,Litchfield
13,30060,G. A. Natesan
14,30061,Bibliothèque de l'Université Laval
15,30062,Dan Koehl
16,30063,Alexander Turnbull Library
